Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford F-150 5.0l V8 Lariat Luxury,Córdoba,Ford,,2020,5.0l V8 Lariat Luxury,Blanco,Nafta,4,Automática,5.0,Pick-Up,46000,,,,Eléctrica,4x4,5.0,400.0,74000.0
Mercedes-Benz Clase C 3.0 C400 Coupe Amg-line 333cv,Ubicación no encontrada,,Clase C,2019,3.0 C400 Coupe Amg-line 333cv,,Nafta,4,Automática,3.0,Sedán,48000,,,,Eléctrica,Delantera,5.0,333.0,74900.0
BMW Serie M 3.0 M2,Ubicación no encontrada,BMW,Serie M,2018,3.0 M2,,Nafta,4,Automática,3.0,Coupé,25000,,,,Asistida,Trasera,4.0,370.0,100000.0
BMW Serie 2 3.0 240i M Package,Capital Federal,BMW,Serie 2,2021,3.0 240i M Package,Celeste,Nafta,2,Automática,3.0,Coupé,11500,,,,Asistida,Trasera,4.0,340.0,76000.0
Ford Mustang 6 Cilindros,Ubicación no encontrada,Ford,Mustang,2017,6 Cilindros,,Nafta,2,,,,50000,,,,,,,,82000.0
Audi S3 2.0 Tfsi 310cv 4 p,Córdoba,Audi,S3,2018,2.0 Tfsi 310cv 4 p,,Nafta,4,Automática,2.0,Sedán,42000,,,,Eléctrica,Delantera,5.0,310.0,62900.0
Porsche Cayenne 3.0 S Hybrid 380cv Tiptronic (958),Capital Federal,Porsche,Cayenne,2014,,,Híbrido/Nafta,5,Automática,3.0,SUV,89000,,,,Hidráulica,4x4,5.0,333.0,62000.0
Ford Mustang 5.0 Gt 421cv,Ubicación no encontrada,Ford,Mustang,2020,5.0 Gt 421cv,Azul,Nafta,2,Manual,5.0,Coupé,10000,,,,Asistida,Trasera,2.0,421.0,86000.0
Mercedes-Benz Clase A 1.6 A45 Amg 360cv,Ubicación no encontrada,,Clase A,2019,1.6 A45 Amg 360cv,Gris,Nafta,5,Automática,1.6,Hatchback,13000,,,,Asistida,4x4,5.0,360.0,73900.0
Audi S5 Coupe 3.0 Tfsi 354cv,Ubicación no encontrada,Audi,S5 Coupe,2018,3.0 Tfsi 354cv,Gris,Nafta,2,Automática,3.0,Coupé,49000,,,,Eléctrica,Integral,4.0,354.0,69900.0
Volkswagen Touareg 3.0 V6 I Premium,Ubicación no encontrada,Volkswagen,Touareg,2021,3.0 V6 I Premium,Gris,Diésel,5,Automática,3.0,SUV,68000,,,,,4x4,5.0,245.0,120000.0
Lexus NX NX 350 F-Sport 2.4T AT8 278cv,Ubicación no encontrada,Lexus,NX,2023,NX 350 F-Sport 2.4T AT8 278cv,Negro,Nafta,4,Automática,3.0,Off-Road,8000,,,,Hidráulica,Delantera,5.0,197.0,99900.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Ubicación no encontrada,Toyota,Hilux,2021,2.8 Cd Srx 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,36000,,,,Hidráulica,4x4,5.0,177.0,37833.33
Jeep Grand Cherokee 6.4 Srt Atx 465hp At,Ubicación no encontrada,Jeep,Grand Cherokee,2018,6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,60035,,,,Hidráulica,4x4,5.0,465.0,110000.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2022,3.5l Bi-turbo,Negro,Nafta,4,Automática,3.5,Pick-Up,5000,,,,Eléctrica,4x4,5.0,456.0,120000.0
Mercedes Benz Slc 43,Ubicación no encontrada,,Classe SLC,2018,SLC 43 AMG,Negro,Nafta,3,,,Cabriolet,13800,,,,,,,,115000.0
Mercedes-Benz Clase E 3.0 E400 Amg-line 333cv,Ubicación no encontrada,,Clase E,2018,3.0 E400 Amg-line 333cv,Gris,Nafta,4,Automática,3.0,,59000,,,,Eléctrica,Delantera,4.0,333.0,59900.0
Renault 19 1.6,Buenos Aires Interior,Renault,19,1999,1.6,,Nafta,4,,,,252115,,,,,,,,133333.33
Ford F-150 5.0l V8 Lariat Luxury,Ubicación no encontrada,Ford,,2020,5.0l V8 Lariat Luxury,Blanco,Nafta,4,Automática,5.0,Pick-Up,85000,,,,Eléctrica,4x4,5.0,400.0,59900.0
Mercedes-Benz Clase C 3.0 C400 Coupe Amg-line 333cv,Ubicación no encontrada,,Clase C,2018,3.0 C400 Coupe Amg-line 333cv,Blanco,Nafta,4,Automática,3.0,Sedán,26000,,,,Eléctrica,Delantera,5.0,333.0,70000.0
Ford Mustang Mach 1 Pack 2023,Ubicación no encontrada,Ford,Mustang,2023,mach 1 pack,Gris,Nafta,2,Automática,,Coupé,8680,,,,,,,,115000.0
Mercedes-Benz Clase GLB 2.0 Glb250 Progressive 224cv,Ubicación no encontrada,,Clase GLB,2022,2.0 Glb250 Progressive 224cv,,Nafta,5,Automática,2.0,SUV,48500,,,,Asistida,4x4,5.0,224.0,83000.0
Mercedes-Benz Clase GLB 2.0 Glb200 Advance 163cv,Ubicación no encontrada,,Clase GLB,2020,2.0 Glb200 Advance 163cv,Gris,Nafta,5,Automática,2.0,SUV,40600,,,,Asistida,4x4,5.0,163.0,61751.0
BMW X5 3.0 Xdrive 40i Xline,Ubicación no encontrada,BMW,X5,2019,3.0 Xdrive 40i Xline,Blanco,Nafta,5,Automática,3.0,Crossover,72405,,,,electronic,4x4,5.0,306.0,129900.0
Jaguar XE 2.0 Se 240cv,Ubicación no encontrada,Jaguar,XE,2018,2.0 Se 240cv,Plateado,Nafta,4,Automática,2.0,Hatchback,16850,,,,Eléctrica,Trasera,5.0,240.0,59900.0
Mercedes Benz Glc 43 Coupe 2020 !!,Ubicación no encontrada,,GLC,2020,43 COUPE,Azul,Nafta,5,,,,60000,,,,,,,,135000.0
Ford Ranger Raptor 3.0L V6 Ecoboost Biturbo Cabina Doble 4X4,Ubicación no encontrada,Ford,Ranger Raptor,2024,3.0L V6 Ecoboost Biturbo Cabina Doble 4X4,,Nafta,4,Automática,3.0,Pick-Up,2500,,,,,4x4,5.0,397.0,78000.0
Mercedes-Benz Clase C 2.0 C300 Coupe 245cv,Ubicación no encontrada,,Clase C,2016,2.0 C300 Coupe 245cv,,Nafta,2,Manual,2.0,Coupé,35000,,,,Asistida,Delantera,4.0,245.0,60900.0
BMW Serie 2 3.0 240i M Package,Tucumán,BMW,Serie 2,2021,3.0 240i M Package,,Nafta,2,Automática,3.0,Coupé,12000,,,,Asistida,Trasera,4.0,340.0,72000.0
Mercedes-Benz Clase A 1.6 A35 4matic 306 Cv 5 p,Ubicación no encontrada,,Clase A,2021,1.6 A35 4matic 306 Cv 5 p,Negro,Nafta,5,Automática,1.6,Hatchback,8200,,,,Asistida,Integral,5.0,306.0,90000.0
Jeep Wrangler 3.6 Unlimited 284hp Atx,Ubicación no encontrada,Jeep,Wrangler,2019,3.6 Unlimited 284hp Atx,Rojo,Nafta,3,Automática,3.6,Hatchback,34000,,,,,4x4,4.0,284.0,95000.0
BMW Serie 2 3.0 240i M Package Cabrio,Ubicación no encontrada,BMW,Serie 2,2017,3.0 240i M Package Cabrio,Blanco,Nafta,2,Automática,3.0,Cabriolet,34000,,,,Asistida,Trasera,4.0,340.0,73000.0
BMW Serie 2 3.0 240i M Package,Capital Federal,BMW,Serie 2,2021,3.0 240i M Package,Negro,Nafta,2,Automática,,,28000,,,,Asistida,Trasera,4.0,340.0,69000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Córdoba,Toyota,Hilux,2023,2.8 Cd Srx 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,1000,,,,Hidráulica,4x4,5.0,177.0,37333.33
BMW Serie 2 3.0 240i M Package,Córdoba,BMW,Serie 2,2018,3.0 240i M Package,Blanco,Nafta,2,Automática,3.0,Coupé,32000,,,,Asistida,Trasera,4.0,340.0,60900.0
Ford F-150 F-150 Raptor,Ubicación no encontrada,Ford,,2023,F-150 Raptor,Blanco,Diésel,4,Automática,2.0,Pick-Up,21000,,,,Eléctrica,4x4,5.0,200.0,119800.0
BMW Serie M 3.0 M2,Córdoba,BMW,Serie M,2017,3.0 M2,Gris,Nafta,4,Automática,3.0,Coupé,18000,,,,Asistida,Trasera,4.0,370.0,108000.0
Ford F-150 5.0l V8 Lariat Luxury,Santa Fe,Ford,,2022,5.0l V8 Lariat Luxury,,Nafta,4,Automática,5.0,Pick-Up,100000,,,,Eléctrica,4x4,5.0,400.0,85000.0
Subaru Impreza 2.5 6mt Wrx Sti Turbo S 300cv,Ubicación no encontrada,Subaru,Impreza,2008,2.5 6mt Wrx Sti Turbo S 300cv,Gris,Nafta,5,Manual,2.5,Hatchback,100000,,,,Hidráulica,Integral,5.0,265.0,75000.0
Mercedes-Benz Clase A 2.0 A250 Amg-line 224cv Hatch,Ubicación no encontrada,,Clase A,2020,2.0 A250 Amg-line 224cv Hatch,Blanco,Nafta,5,Automática,2.0,Hatchback,41200,,,,Asistida,Delantera,5.0,224.0,59500.0
BMW X4 3.0 Xdrive 35i 306cv M Package,Ubicación no encontrada,BMW,X4,2019,3.0 Xdrive 35i 306cv M Package,Gris,Nafta,5,Automática,3.0,SUV,70000,,,,Asistida,4x4,5.0,306.0,65000.0
Audi S4 3.0 Tfsi 354cv,Ubicación no encontrada,Audi,S4,2018,3.0 Tfsi 354cv,Plateado,Nafta,4,Automática,3.0,Sedán,25000,,,,Eléctrica,Trasera,5.0,354.0,72000.0
Audi SQ5 3.0 Tfsi Stronic 354cv,Ubicación no encontrada,Audi,SQ5,2019,3.0 Tfsi Stronic 354cv,Gris oscuro,Nafta,5,,,SUV,51000,,,,electronic,,,,81000.0
Volvo XC60 3.0 T6 High Luxury Awd,Capital Federal,Volvo,XC60,2018,3.0 T6 High Luxury Awd,Gris,Nafta,5,Automática,3.0,SUV,140000,,,,Asistida,4x4,5.0,304.0,60000.0
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,Ubicación no encontrada,Toyota,SW4,2024,2.8 Srx 204Cv 4X4 7As At,Blanco,Diésel,5,Automática,2.8,SUV,1000,,,,,4x4,7.0,204.0,46333.33
BMW X2 2.0 M35i Mpa,Capital Federal,BMW,X2,2020,2.0 M35i Mpa,,Nafta,5,Automática,2.0,SUV,25000,,,,Asistida,4x4,5.0,192.0,81500.0
Ford Mustang 5.0 Gt 421cv,Ubicación no encontrada,Ford,Mustang,2023,5.0 Gt 421cv,,Nafta,2,Manual,5.0,Coupé,2000,,,,Asistida,Trasera,2.0,421.0,105000.0
Jeep Wrangler 3.6 Sport 284hp Atx,Capital Federal,Jeep,Wrangler,2019,3.6 Sport 284hp Atx,,Nafta,3,Automática,3.6,Hatchback,50000,,,,,4x4,4.0,284.0,97000.0
MINI Cooper S 2.0 F56 Chili 192cv,Ubicación no encontrada,MINI,Cooper S,2023,2.0 F56 Chili 192cv,Gris,Nafta,5,Automática,2.0,Hatchback,1000,,,,Asistida,Delantera,5.0,192.0,59000.0
All New Staria 2.2 At,Ubicación no encontrada,Hyundai,Staria,2024,Safety,Azul,Diésel,5,Automática,2.2,Van,1000,,,,Asistida,,,,59900.0
Jeep Grand Cherokee 3.6 Limited 286hp Techo + Llantas 18,Ubicación no encontrada,Jeep,Grand Cherokee,2019,,Negro,Nafta,5,Automática,3.6,SUV,58000,,,,Hidráulica,4x4,5.0,286.0,63000.0
Ford F-150 Lariat Luxury 5.0L V8 4x4 AT,Ubicación no encontrada,Ford,,2021,Lariat Luxury 5.0L V8 4x4 AT,Gris,Nafta,4,Automática,5.0,Pick-Up,23000,,,,Eléctrica,4x4,5.0,400.0,68500.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2022,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,Minivan,2300,,,,,Delantera,10.0,177.0,60000.0
Mercedes-Benz Clase GLE 3.0 Gle400 Sport Coupe 4matic 333cv,Ubicación no encontrada,,Clase GLE,2020,3.0 Gle400 Sport Coupe 4matic 333cv,Blanco,Nafta,5,Automática,3.0,SUV,22000,,,,Eléctrica,Integral,5.0,333.0,119900.0
Volkswagen Amarok 3.0 V6 Extreme,Salta,Volkswagen,Amarok,2024,3.0 V6 Extreme,Gris,Diésel,4,Automática,3.0,Pick-Up,1000,,,,Hidráulica,4x4,5.0,258.0,40000.0
Mercedes-Benz Clase A 1.6 A35 4matic 306 Cv 4 p,Buenos Aires Interior,,Clase A,2022,1.6 A35 4matic 306 Cv 4 p,,Nafta,4,Automática,1.6,Sedán,30000,,,,Asistida,Integral,5.0,306.0,80000.0
Jeep Grand Cherokee 3.6 Overland 286hp At,Ubicación no encontrada,Jeep,Grand Cherokee,2018,3.6 Overland 286hp At,Plateado,Nafta,5,Automática,3.6,SUV,64000,,,,Hidráulica,4x4,5.0,286.0,59900.0
BMW Serie 2 3.0 240i M Package,Ubicación no encontrada,BMW,Serie 2,2017,3.0 240i M Package,,Nafta,2,Automática,3.0,Coupé,52000,,,,Asistida,Trasera,4.0,340.0,65000.0
BMW X5 3.0 Xdrive 40d M Package 313cv,Ubicación no encontrada,BMW,X5,2018,3.0 Xdrive 40d M Package 313cv,Blanco,Diésel,5,Automática,3.0,SUV,32982,,,,Asistida,4x4,5.0,313.0,79999.0
RAM Rampage 2.0 Rt Gme At9 4X4,Ubicación no encontrada,RAM,Rampage,2024,2.0 Rt Gme At9 4X4,Blanco,Nafta,4,Automática,2.0,Pick-Up,3000,,,,,4x4,5.0,272.0,39000.33
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Buenos Aires Interior,,Clase GLC,2021,2.0 Glc300 4matic Coupe At,,Nafta,5,Automática,2.0,Coupé,51230,,,,Asistida,4x4,5.0,258.0,105000.0
RAM 1500 5.7 Laramie Atx V8,Ubicación no encontrada,RAM,1500,2022,5.7 Laramie Atx V8,Gris,Nafta,4,Automática,5.7,Pick-Up,26600,,,,Hidráulica,4x4,5.0,395.0,60000.0
Mercedes-Benz Clase GLE 3.0 Gle400 Sport Coupe 4matic 333cv,Ubicación no encontrada,,Clase GLE,2017,3.0 Gle400 Sport Coupe 4matic 333cv,Gris,Nafta,5,Automática,3.0,SUV,89000,,,,Eléctrica,Integral,5.0,333.0,99500.0
Volvo 2012 Fm370 Automático,Mendoza,Volvo,2012,2012,FM370 Automático,,Diésel,2,,,,1250,,,,,,,,50000.0
Iveco Tector 110-190 2022,Córdoba,,2022,2022,tector 110-190,,Diésel,2,,,,10000,,,,Hidráulica,Trasera,,,42000.0
Toyota Hilux 2.4 Cd Dx 150cv 4x4,Ubicación no encontrada,Toyota,Hilux,2023,2.4 Cd Dx 150cv 4x4,Blanco,Diésel,4,Manual,2.4,Pick-Up,1500,,,,Hidráulica,4x4,5.0,150.0,85000.0
Mercedes Benz Amg E 53 Coupé 4matic (435 Cv) Amg C238 E Ec,Ubicación no encontrada,,Clase E,2023,E 53 amg Coupé 4matic 435cv,Gris,Híbrido,2,Automática secuencial,,Coupé,500,,,,Eléctrica,,,,190000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Ubicación no encontrada,Toyota,Hilux,2023,2.8 Cd Srx 177cv 4x4 At,Plateado,Diésel,4,Automática,2.8,Pick-Up,15897,,,,Hidráulica,4x4,5.0,177.0,36000.0
Mercedes-Benz Clase C 2.0 C300 Coupe 258cv Sedan,Ubicación no encontrada,,Clase C,2023,2.0 C300 Coupe 258cv Sedan,Negro,Nafta,4,Automática,2.0,Sedán,39000,,,,Asistida,Delantera,4.0,258.0,82000.0
Mercedes-Benz Clase SL 5.0 Sl500 Roadster,Ubicación no encontrada,,Clase SL,2005,5.0 Sl500 Roadster,Gris,Nafta,2,Automática,5.0,Coupé,88000,,,,Eléctrica,Trasera,2.0,306.0,110000.0
Ford F-150 5.0l V8 Lariat Luxury Oportunidad,Ubicación no encontrada,Ford,,2021,Luxury,Rojo,Nafta,5,Automática,5.0,Pick-Up,26000,,,,Hidráulica,,,,82000.0
BMW X3 2.0 Xdrive 30i Xline,Ubicación no encontrada,BMW,X3,2020,2.0 Xdrive 30i Xline,Blanco,Nafta,5,Automática,2.0,SUV,23500,,,,Eléctrica,4x4,5.0,252.0,75000.0
Ford F-150 5.0l V8 Lariat Luxury,Ubicación no encontrada,Ford,,2020,5.0l V8 Lariat Luxury,Negro,Nafta,4,Automática,5.0,Pick-Up,60800,,,,Eléctrica,4x4,5.0,400.0,125000.0
Dodge Ram 1500,Capital Federal,Dodge,Ram,2021,1500,,Nafta,5,,,,50000,,,,,,,,58000.0
Jeep Grand Cherokee 3.6 Overland 286hp At,Chubut,Jeep,Grand Cherokee,2018,3.6 Overland 286hp At,,Nafta,5,Automática,3.6,SUV,125000,,,,Hidráulica,4x4,5.0,286.0,46666.67
Jeep Wrangler 3.6 Unlimited 284hp Atx,Ubicación no encontrada,Jeep,Wrangler,2018,3.6 Unlimited 284hp Atx,,Nafta,3,Automática,3.6,Hatchback,63000,,,,,4x4,4.0,284.0,59400.0
BMW Serie 4 3.0 440i M Package 326cv,Ubicación no encontrada,BMW,Serie 4,2022,3.0 440i M Package 326cv,,Nafta,2,Automática,3.0,Cabriolet,17500,,,,Eléctrica,Trasera,4.0,326.0,115000.0
BMW X6 3.0 Xdrive 35i Sportive 306cv,Ubicación no encontrada,BMW,X6,2016,3.0 Xdrive 35i Sportive 306cv,,Nafta,5,Automática,3.0,SUV,102000,,,,Asistida,4x4,4.0,306.0,74000.0
Bmw X4 M 40 I 2020. Blindada Rb3,Ubicación no encontrada,BMW,X4,2020,BMW X4 M 40 I 2020,Gris,Nafta,5,Automática,,Crossover,49000,,,,Asistida,Integral,,,144500.0
Chevrolet Camaro 6.2 Coupe Ss V8,Santa Fe,Chevrolet,Camaro,2014,6.2 Coupe Ss V8,,Nafta,2,Manual,6.2,Coupé,10000,,,,Asistida,Trasera,2.0,405.0,70000.0
Mercedes-benz Achelo 815 Achelo,Córdoba,,ACHELO 815,2023,ACHELO,,Nafta,2,,,,16000,,,,,,,,60000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2022,2.8 Tdi Wagon 6at 10a,Gris oscuro,Nafta,4,Manual,2.8,Minivan,5000,,,,electronic,Delantera,5.0,177.0,37333.33
RAM 1500 5.7 Laramie Atx V8,Ubicación no encontrada,RAM,1500,2022,5.7 Laramie Atx V8,Gris,Nafta,4,Automática,5.7,Pick-Up,68452,,,,Hidráulica,4x4,5.0,395.0,44000.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2022,3.5l Bi-turbo,Blanco,Nafta,4,Automática,3.5,Pick-Up,14000,,,,Eléctrica,4x4,5.0,456.0,115000.0
Mercedes Benz C 300 Amg L19 2019,Ubicación no encontrada,,Clase C,2019,2.0 C300 Coupe 258cv Cabrio,Blanco,Nafta,4,Automática,2.0,Sedán,62000,,,,hydraulic,Trasera,5.0,,58000.0
Porsche Cayenne,Capital Federal,Porsche,Cayenne,2019,3.0 V6 Turbo 340CV Tiptronic S,Azul,Nafta,5,Automática,,SUV,34000,,,,Asistida,,,,156700.0
Toyota Hilux SW4 2.8 Tdi Gr-s 4x4 7as 6at,Bs.As. G.B.A. Norte,Toyota,Hilux SW4,2024,2.8 Tdi Gr-s 4x4 7as 6at,Blanco,Diésel,5,Automática,2.8,SUV,1000,,,,Hidráulica,4x4,7.0,177.0,65000.0
Mercedes-benz Clase A 1.3 A200 163cv Progressive 2022,Ubicación no encontrada,,Clase A,2022,1.3 A200 163cv Progressive,Gris oscuro,Nafta,5,Automática,1.3,Sedán,8200,,,,,,,,59000.0
RAM 1500 5.7 Laramie Atx V8,Río Negro,RAM,1500,2020,5.7 Laramie Atx V8,,Nafta,4,Automática,5.7,Pick-Up,60000,,,,Hidráulica,4x4,5.0,395.0,68000.0
Audi Q7 3.0 Tfsi 333cv Tiptronic Quattro,Ubicación no encontrada,Audi,Q7,2021,3.0 Tfsi 333cv Tiptronic Quattro,Gris,Nafta,5,Automática,3.0,SUV,50000,,,,Asistida,Integral,5.0,333.0,109900.0
Toyota Hilux Gr 4 Blindado Rb3 Bullet Proof,Ubicación no encontrada,Toyota,Hilux,2023,GR 4,Negro,Diésel,4,,,,500,,,,,,,,84900.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2020,3.5l Bi-turbo,Azul,Nafta,4,Automática,3.5,Pick-Up,80000,,,,Eléctrica,4x4,5.0,456.0,85000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2024,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,,500,,,,,Delantera,10.0,177.0,62990.0
Porsche Boxster 3.4 S Coupe 295cv (987),Ubicación no encontrada,Porsche,Boxster,2007,,Negro,Nafta,2,Manual,3.4,,156600,,,,Hidráulica,Trasera,2.0,295.0,70000.0
BMW Serie 4 3.0 440i M Package Cabrio 326cv,Ubicación no encontrada,BMW,Serie 4,2019,3.0 440i M Package Cabrio 326cv,Blanco,Nafta,2,Automática,3.0,Cabriolet,71000,,,,Eléctrica,Trasera,4.0,326.0,93000.0
Ford F-150 5.0l V8 Lariat Luxury,Córdoba,Ford,,2021,5.0l V8 Lariat Luxury,Blanco,Nafta,4,Automática,5.0,Pick-Up,26000,,,,Eléctrica,4x4,5.0,400.0,74000.0
Ford F-150 Raptor 3.5l Bi-turbo,Mendoza,Ford,,2022,3.5l Bi-turbo,,Nafta,4,Automática,3.5,Pick-Up,23000,,,,Eléctrica,4x4,5.0,456.0,110000.0
DS DS4 1.6 Performance Line 215 At8,Ubicación no encontrada,DS,DS4,2023,1.6 Performance Line 215 At8,Gris,Nafta,5,Automática,1.6,Hatchback,7000,,,,Eléctrica,Delantera,5.0,215.0,76500.0
Chevrolet Camaro 6.2 Coupe Ss V8,Ubicación no encontrada,Chevrolet,Camaro,2014,6.2 Coupe Ss V8,Rojo,Nafta,2,Manual,6.2,Coupé,53000,,,,Asistida,Trasera,2.0,405.0,63000.0
Mercedes-Benz Clase A 1.6 A45 Amg 360cv,Ubicación no encontrada,,Clase A,2016,1.6 A45 Amg 360cv,Gris,Nafta,5,Automática,1.6,Hatchback,30000,,,,Asistida,4x4,5.0,360.0,68000.0
Ford Mustang 5.0 Gt 421cv,Ubicación no encontrada,Ford,Mustang,2020,5.0 Gt 421cv,Negro,Nafta,2,Manual,5.0,Coupé,10000,,,,Asistida,Trasera,2.0,421.0,90000.0
BMW Serie 2 3.0 240i M Package,Ubicación no encontrada,BMW,Serie 2,2020,3.0 240i M Package,Azul,Nafta,2,Automática,3.0,Coupé,10000,,,,Asistida,Trasera,4.0,340.0,75000.0
Jeep Grand Cherokee 3.6 Limited 286hp Techo + Llantas 18,Ubicación no encontrada,Jeep,Grand Cherokee,2020,,Gris,Nafta,5,Automática,3.6,SUV,100000,,,,Hidráulica,4x4,5.0,286.0,65000.0
Jeep Wrangler 3.6 Unlimited 4x4 Aut Rubicon,Ubicación no encontrada,Jeep,Wrangler,2020,3.6 Unlimited 4x4 Aut Rubicon,Amarillo,Nafta,5,Automática,3.6,Off-Road,25400,,,,hydraulic,4x4,5.0,284.0,99000.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2020,3.5l Bi-turbo,Azul,Nafta,4,Automática,3.5,Pick-Up,42800,,,,Eléctrica,4x4,5.0,456.0,90000.0
Audi Q8 3.0 55 Tfsi Quattro,Ubicación no encontrada,Audi,Q8,2020,3.0 55 Tfsi Quattro,Negro,Nafta,5,Automática,3.0,SUV,28000,,,,Asistida,Integral,5.0,340.0,169000.0
Chevrolet Corvette Stingray,Ubicación no encontrada,Chevrolet,Corvette,1998,Stingray,,Nafta,2,,,,40000,,,,,,,,65000.0
Hummer H2 H2 Motor Vortec Speed Motors Año 2005,Ubicación no encontrada,Hummer,H2,2004,H2 Motor Vortec,Negro,Nafta,4,,,SUV,200000,,,,Hidráulica,Trasera,,,140000.0
Mercedes-Benz Clase GLC GLC 300 amg line,Ubicación no encontrada,,Clase GLC,2017,GLC 300 amg line,Gris,Nafta,5,Automática,2.0,SUV,54000,,,,Eléctrica,Integral,5.0,367.0,69000.0
Land Rover Range Rover Sport 5.0 V8 S/c Hse,Bs.As. G.B.A. Oeste,Land Rover,Range Rover Sport,2016,,,Nafta,5,Automática,5.0,SUV,140000,,,,Hidráulica,4x4,5.0,510.0,65000.0
Audi Q8 3.0 55 Tfsi Quattro,Corrientes,Audi,Q8,2020,3.0 55 Tfsi Quattro,Blanco,Nafta,5,Automática,3.0,SUV,34000,,,,Asistida,Integral,5.0,340.0,162000.0
Mercedes-benz Clase C C300 258cv Híbrido,Bs.As. G.B.A. Norte,,Clase C,2023,C300 258CV Híbrido,,Híbrido,4,,,,11800,,,,,,,,97999.0
Jeep Wrangler 3.6 Unlimited 284hp Mtx,Ubicación no encontrada,Jeep,Wrangler,2012,3.6 Unlimited 284hp Mtx,Blanco,Nafta,3,Manual,3.6,SUV,110300,,,,Hidráulica,4x4,4.0,284.0,41333.33
Jeep Gladiator 3.6 4x4 Overland At8 2021,Ubicación no encontrada,Jeep,Gladiator,2021,3.6 4X4 Overland At8,Blanco,Nafta,4,Automática,3.6,Pick-Up,6102,,,,electronic,4x4,5.0,,105000.0
Dodge Ram Laramy,Bs.As. G.B.A. Sur,Dodge,Ram,2022,laramy,,Nafta,4,,,,48000,,,,,,,,58500.0
Porsche 911 3.4 Carrera 4 S,Ubicación no encontrada,Porsche,911,2006,3.4 Carrera 4 S,,Nafta,2,Automática,3.4,Coupé,59000,,,,Eléctrica,Integral,4.0,350.0,125000.0
Mercedes-benz Clase Glc Glc 300 Amg-line,Ubicación no encontrada,,Clase GLC,2017,GLC 300 AMG-LINE,Gris,Nafta,5,,,SUV,68000,,,,Hidráulica,,,,59000.0
Jaguar F-Type 5.0 V8 Sc Coupe,Capital Federal,Jaguar,,2022,5.0 V8 Sc Coupe,Gris,Nafta,2,Automática,5.0,Coupé,8000,,,,Eléctrica,Trasera,2.0,423.0,439000.0
Audi A4 2.0 Fsi Quattro 252cv,Ubicación no encontrada,Audi,A4,2023,2.0 Fsi Quattro 252cv,Plateado,Nafta,4,Automática,2.0,Sedán,12190,,,,Eléctrica,Integral,5.0,252.0,72600.0
Alfa Romeo Zagato 3.0 Rz,Ubicación no encontrada,Alfa Romeo,Zagato,1993,3.0 Rz,Rojo,Nafta,2,Manual,3.0,Coupé,25227,,,,Hidráulica,Delantera,2.0,210.0,200000.0
Ford F-150 5.0l V8 Lariat Luxury,Ubicación no encontrada,Ford,,2022,5.0l V8 Lariat Luxury,,Nafta,4,Automática,5.0,Pick-Up,15300,,,,Eléctrica,4x4,5.0,400.0,75000.0
BMW X5 3.0 Xdrive 35i 306cv Pure Excellence,Ubicación no encontrada,BMW,X5,2016,3.0 Xdrive 35i 306cv Pure Excellence,Blanco,Nafta,5,Automática,3.0,SUV,43000,,,,Asistida,4x4,5.0,306.0,64900.0
BMW X3 2.0 30i,Ubicación no encontrada,BMW,X3,2021,2.0 30i,Gris,Nafta,5,Automática,2.0,SUV,55000,,,,Asistida,4x4,5.0,245.0,66900.0
Mercedes-Benz Clase GL 4.7 Gl500 4matic Sport V8 Bit 435cv,Ubicación no encontrada,,Clase GL,2014,4.7 Gl500 4matic Sport V8 Bit 435cv,Blanco,Nafta,5,Automática,4.7,SUV,70000,,,,Asistida,Integral,5.0,435.0,62500.0
BMW Serie 1 2.0 Xdrive M135 Performance,Capital Federal,BMW,Serie 1,2022,2.0 Xdrive M135 Performance,Blanco,Nafta,5,Automática,2.0,Hatchback,12000,,,,Eléctrica,Integral,,306.0,72900.0
