Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Hummer H2 2005,Ubicación no encontrada,Hummer,H2,2005,H2,Gris,Nafta,4,Automática,6.0,SUV,63025,,,,hydraulic,,,,140000.0
Ferrari 430 4.3 490cv F1,Ubicación no encontrada,Ferrari,430,2009,4.3 490cv F1,Rojo,Nafta,2,Automática,4.3,Coupé,8000,,,,Hidráulica,Trasera,2.0,490.0,410000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2024,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,,1000,,,,,Delantera,10.0,177.0,62990.0
Mercedes-Benz Clase A 1.6 A35 4matic 306 Cv 5 p,Ubicación no encontrada,,Clase A,2020,1.6 A35 4matic 306 Cv 5 p,Plateado,Nafta,5,Automática,1.6,Hatchback,26000,,,,Asistida,Integral,5.0,306.0,74900.0
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,Ubicación no encontrada,Toyota,SW4,2021,2.8 Srx 204Cv 4X4 7As At,,Diésel,5,Automática,2.8,SUV,37000,,,,,4x4,7.0,204.0,40000.0
Audi A4 2.0 Fsi Quattro 252cv,Ubicación no encontrada,Audi,A4,2018,2.0 Fsi Quattro 252cv,Gris,Nafta,4,Automática,2.0,Sedán,64200,,,,Eléctrica,Integral,5.0,252.0,58000.0
Porsche Macan 2.0,Ubicación no encontrada,Porsche,Macan,2016,2.0,Negro,Nafta,4,Automática,2.0,SUV,80000,,,,Asistida,,,,83000.0
Lexus RX 500H F-SPORT+ ML,Ubicación no encontrada,Lexus,RX,2023,,,Híbrido,4,Automática,3.5,SUV,6500,,,,Eléctrica,4x4,5.0,312.0,120000.0
BMW Serie 2 3.0 240i M Package,Ubicación no encontrada,BMW,Serie 2,2023,3.0 240i M Package,,Nafta,2,Automática,3.0,Coupé,5000,,,,Asistida,Trasera,4.0,340.0,103000.0
Mercedes-Benz Clase GLB 1.4 Glb200 Advance 163Cv,Córdoba,,Clase GLB,2023,1.4 Glb200 Advance 163Cv,Azul,Nafta,5,Automática,1.4,SUV,15000,,,,Asistida,4x2,5.0,163.0,74200.0
Mercedes-Benz Clase C 2.0 C300 Coupe 258cv Sedan,Ubicación no encontrada,,Clase C,2023,2.0 C300 Coupe 258cv Sedan,Gris,Nafta,4,Automática,2.0,Sedán,5300,,,,Asistida,Delantera,4.0,258.0,109900.0
Jeep Grand Cherokee 3.6 Overland 286hp At,Bs.As. G.B.A. Sur,Jeep,Grand Cherokee,2017,3.6 Overland 286hp At,,Nafta,5,Automática,3.6,SUV,95000,,,,Hidráulica,4x4,5.0,286.0,60000.0
Mercedes-Benz Clase GLC 2.0 Glc250 300 4matic Atomático,Ubicación no encontrada,,Clase GLC,2019,2.0 Glc250 300 4matic Atomático,Negro,Nafta,5,Automática,2.0,SUV,134000,,,,Asistida,4x4,5.0,211.0,65000.0
Land Rover Evoque 2.0 Se Mhev Hibrid,Ubicación no encontrada,Land Rover,Evoque,2020,2.0 Se Mhev Hibrid,Blanco,Híbrido/Nafta,5,Automática,2.0,SUV,16000,,,,Hidráulica,4x4,5.0,300.0,129000.0
