Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet S10 2.8 Ls Cd Tdci 200cv 4x4,Bs.As. G.B.A. Sur,2.8 Ls Cd Tdci 200cv 4x4,,Chevrolet,S10,2018,Diésel,4.0,Manual,2.8,Pick-Up,20000.0,Asistida,4x4,5.0,200.0,22500.0
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,Bs.As. G.B.A. Norte,2.8 Cd 4x4 Ltz Tdci 200cv At,Plateado,Chevrolet,S10,2024,Diésel,4.0,Automática,2.8,Pick-Up,5000.0,Asistida,4x4,5.0,200.0,34500.0
Chevrolet S10 2.8 Cd 4x2 Ls Tdci 200cv,Ubicación no encontrada,2.8 Cd 4x2 Ls Tdci 200cv,Blanco,Chevrolet,S10,2016,Diésel,4.0,Manual,2.8,Pick-Up,83000.0,Hidráulica,4x2,5.0,200.0,16500.0
Chevrolet S10 2.8 Cd 4x2 Ls Tdci 200cv,Ubicación no encontrada,2.8 Cd 4x2 Ls Tdci 200cv,,Chevrolet,S10,2015,Diésel,4.0,Manual,2.8,Pick-Up,107000.0,Hidráulica,4x2,5.0,200.0,14500.0
Chevrolet S10 2.8 G4 Cd 4x4 Electronico,Bs.As. G.B.A. Oeste,2.8 G4 Cd 4x4 Electronico,Blanco,Chevrolet,S10,2011,Diésel,4.0,Manual,2.8,Pick-Up,270000.0,Hidráulica,4x4,4.0,140.0,11000.0
Chevrolet S10 2.8 4x2 Dc Aa,Bs.As. G.B.A. Norte,2.8 4x2 Dc Aa,,Chevrolet,S10,2004,Diésel,4.0,Manual,2.8,Pick-Up,250000.0,Hidráulica,4x2,5.0,200.0,7333.33
Chevrolet S10 2.8 G4 Cd Dlx 4x4 Electronico,Ubicación no encontrada,2.8 G4 Cd Dlx 4x4 Electronico,,Chevrolet,S10,2008,Diésel,4.0,Manual,2.8,Pick-Up,236000.0,Hidráulica,4x4,4.0,140.0,10500.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv 4x2,Bs.As. G.B.A. Oeste,2.8 Ls Cd Tdci 200cv 4x2,,Chevrolet,S10,2018,Diésel,4.0,Manual,2.8,Pick-Up,95000.0,Asistida,4x2,5.0,200.0,19800.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv,,Chevrolet,S10,2017,Diésel,4.0,Manual,2.8,Pick-Up,110000.0,Hidráulica,4x2,5.0,200.0,18000.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv,Azul,Chevrolet,S10,2017,Diésel,4.0,Manual,2.8,Pick-Up,130000.0,Hidráulica,4x2,5.0,200.0,20600.0
